Brand, Product_Name, Original_Price, Current_Price, Shipping
EVGA,EVGA GeForce RTX 3070 FTW3 ULTRA GAMING Video Card| 08G-P5-3767-KL| 8GB GDDR6| iCX3 Technology| ARGB LED| Metal Backplate| LHR,$1512.50 (2 Offers)–,$1512.50 (2 Offers)–,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING,$1649.99 –,$1649.99 –,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 Ti 8GB GDRR6 256-Bit HDMI/DP Tri-Frozr 2 TORX Fan 4.0 Ampere Architecture RGB OC Graphics Card (RTX 3060 Ti Gaming X Trio),$1186.99 –,$1186.99 –,$49.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti VISION OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 256-bit GDDR6| GV-N306TVISION OC-8GD (REV 2.0) LHR Video Card,$969.00 –,$969.00 –,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING OC 8GB Video Card| GV-N306TGAMING OC-8GD (REV 2.0),$949.99 –,$949.99 –,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti VISION OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 256-bit GDDR6| GV-N306TVISION OC-8GD Video Card,$1015.99 (4 Offers)–,$1015.99 (4 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD,$1399.89 (4 Offers)–,$1399.89 (4 Offers)–,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3070-8G-GAMING,$1532.98 –,$1532.98 –,$49.99 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD,$1549.98 (2 Offers)–,$1549.98 (2 Offers)–,Free Shipping
Corn Electronics,GEFORCE RTX 3070TI Ice Dragon Super Edition 8G GDDR6X Graphics Card,$1389.99 –,$1389.99 –,Free Shipping
